       Value   Percentile   TotalCount 1/(1-Percentile)
      375.00     0.000000       465828         1.00
      377.00     0.000000       465864         1.00
      379.00     0.000000       465893         1.00
      381.00     0.000000       465927         1.00
      383.00     0.000000       465961         1.00
      385.00     0.000000       465995         1.00
      387.00     0.000000       466035         1.00
      389.00     0.000000       466073         1.00
      391.00     0.000000       466106         1.00
      393.00     0.000000       466146         1.00
      395.00     0.000000       466190         1.00
      397.00     0.000000       466239         1.00
      399.00     0.000000       466272         1.00
      401.00     0.000000       466302         1.00
      403.00     0.000000       466338         1.00
      405.00     0.000000       466371         1.00
      407.00     0.000000       466416         1.00
      409.00     0.000000       466453         1.00
      411.00     0.000000       466486         1.00
      413.00     0.000000       466527         1.00
      415.00     0.000000       466560         1.00
      417.00     0.000000       466598         1.00
      419.00     0.000000       466633         1.00
      421.00     0.000000       466679         1.00
      423.00     0.000000       466711         1.00
      425.00     0.000000       466748         1.00
      427.00     0.000000       466782         1.00
      429.00     0.000000       466818         1.00
      431.00     0.000000       466849         1.00
      433.00     0.000000       466885         1.00
      435.00     0.000000       466923         1.00
      437.00     0.000000       466966         1.00
      439.00     0.000000       466998         1.00
      441.00     0.000000       467036         1.00
      443.00     0.000000       467067         1.00
      445.00     0.000000       467105         1.00
      447.00     0.000000       467141         1.00
      449.00     0.000000       467177         1.00
      451.00     0.000000       467213         1.00
      453.00     0.000000       467244         1.00
      455.00     0.000000       467287         1.00
      457.00     0.000000       467323         1.00
      459.00     0.000000       467364         1.00
      461.00     0.000000       467395         1.00
      463.00     0.000000       467429         1.00
      465.00     0.000000       467470         1.00
      467.00     0.000000       467506         1.00
      469.00     0.000000       467547         1.00
      471.00     0.000000       467585         1.00
      473.00     0.000000       467624         1.00
      475.00     0.000000       467657         1.00
      477.00     0.000000       467700         1.00
      479.00     0.000000       467736         1.00
      481.00     0.000000       467763         1.00
      483.00     0.000000       467808         1.00
      485.00     0.000000       467836         1.00
      487.00     0.000000       467872         1.00
      489.00     0.000000       467911         1.00
      491.00     0.000000       467953         1.00
      493.00     0.000000       467991         1.00
      495.00     0.000000       468036         1.00
      497.00     0.000000       468081         1.00
      499.00     0.000000       468116         1.00
      501.00     0.000000       468156         1.00
      503.00     0.000000       468197         1.00
      505.00     0.000000       468224         1.00
      507.00     0.000000       468267         1.00
      509.00     0.000000       468307         1.00
      511.00     0.000000       468342         1.00
      515.00     0.000000       468417         1.00
      519.00     0.000000       468489         1.00
      523.00     0.000000       468557         1.00
      527.00     0.000000       468629         1.00
      531.00     0.000000       468703         1.00
      535.00     0.000000       468771         1.00
      539.00     0.000000       468838         1.00
      543.00     0.000000       468898         1.00
      547.00     0.000000       468970         1.00
      551.00     0.000000       469038         1.00
      555.00     0.000000       469112         1.00
      559.00     0.000000       469177         1.00
      563.00     0.000000       469246         1.00
      567.00     0.000000       469312         1.00
      571.00     0.000000       469389         1.00
      575.00     0.000000       469462         1.00
      579.00     0.000000       469525         1.00
      583.00     0.000000       469599         1.00
      587.00     0.000000       469674         1.00
      591.00     0.000000       469741         1.00
      595.00     0.000000       469821         1.00
      599.00     0.000000       469898         1.00
      603.00     0.000000       469966         1.00
      607.00     0.000000       470035         1.00
      611.00     0.000000       470092         1.00
      615.00     0.000000       470162         1.00
      619.00     0.000000       470229         1.00
      623.00     0.000000       470296         1.00
      627.00     0.000000       470358         1.00
      631.00     0.000000       470433         1.00
      635.00     0.000000       470501         1.00
      639.00     0.000000       470564         1.00
      643.00     0.000000       470637         1.00
      647.00     0.000000       470711         1.00
      651.00     0.000000       470778         1.00
      655.00     0.000000       470848         1.00
      659.00     0.000000       470920         1.00
      663.00     0.000000       470987         1.00
      667.00     0.000000       471056         1.00
      671.00     0.000000       471127         1.00
      675.00     0.000000       471205         1.00
      679.00     0.000000       471281         1.00
      683.00     0.000000       471344         1.00
      687.00     0.000000       471408         1.00
      691.00     0.000000       471482         1.00
      695.00     0.000000       471546         1.00
      699.00     0.000000       471626         1.00
      703.00     0.000000       471699         1.00
      707.00     0.000000       471769         1.00
      711.00     0.000000       471835         1.00
      715.00     0.000000       471900         1.00
      719.00     0.000000       471976         1.00
      723.00     0.000000       472044         1.00
      727.00     0.000000       472110         1.00
      731.00     0.000000       472174         1.00
      735.00     0.000000       472244         1.00
      739.00     0.000000       472312         1.00
      743.00     0.000000       472384         1.00
      747.00     0.000000       472445         1.00
      751.00     0.000000       472507         1.00
      755.00     0.000000       472572         1.00
      759.00     0.000000       472641         1.00
      763.00     0.000000       472708         1.00
      767.00     0.000000       472770         1.00
      771.00     0.000000       472828         1.00
      775.00     0.000000       472898         1.00
      779.00     0.000000       472970         1.00
      783.00     0.000000       473033         1.00
      787.00     0.000000       473111         1.00
      791.00     0.000000       473183         1.00
      795.00     0.000000       473243         1.00
      799.00     0.000000       473319         1.00
      803.00     0.000000       473390         1.00
      807.00     0.000000       473458         1.00
      811.00     0.000000       473520         1.00
      815.00     0.000000       473581         1.00
      819.00     0.000000       473642         1.00
      823.00     0.000000       473717         1.00
      827.00     0.000000       473783         1.00
      831.00     0.000000       473849         1.00
      835.00     0.000000       473926         1.00
      839.00     0.000000       473988         1.00
      843.00     0.000000       474058         1.00
      847.00     0.000000       474121         1.00
      851.00     0.000000       474193         1.00
      855.00     0.000000       474265         1.00
      859.00     0.000000       474332         1.00
      863.00     0.000000       474397         1.00
      867.00     0.000000       474459         1.00
      871.00     0.000000       474526         1.00
      875.00     0.000000       474591         1.00
      879.00     0.000000       474651         1.00
      883.00     0.000000       474731         1.00
      887.00     0.000000       474800         1.00
      891.00     0.000000       474885         1.00
      895.00     0.000000       474949         1.00
      899.00     0.000000       475024         1.00
      903.00     0.000000       475093         1.00
      907.00     0.000000       475162         1.00
      911.00     0.000000       475236         1.00
      915.00     0.000000       475303         1.00
      919.00     0.000000       475373         1.00
      923.00     0.000000       475431         1.00
      927.00     0.000000       475508         1.00
      931.00     0.000000       475584         1.00
      935.00     0.000000       475647         1.00
      939.00     0.000000       475711         1.00
      943.00     0.000000       475777         1.00
      947.00     0.000000       475845         1.00
      951.00     0.000000       475906         1.00
      955.00     0.000000       475966         1.00
      959.00     0.000000       476037         1.00
      963.00     0.000000       476108         1.00
      967.00     0.000000       476177         1.00
      971.00     0.000000       476245         1.00
      975.00     0.000000       476311         1.00
      979.00     0.000000       476380         1.00
      983.00     0.000000       476450         1.00
      987.00     0.000000       476522         1.00
      991.00     0.000000       476598         1.00
      995.00     0.000000       476673         1.00
      999.00     0.000000       476748         1.00
     1003.00     0.000000       476804         1.00
     1007.00     0.000000       476876         1.00
     1011.00     0.000000       476947         1.00
     1015.00     0.000000       477022         1.00
     1019.00     0.000000       477085         1.00
     1023.00     0.000000       477152         1.00
     1031.00     0.000000       477297         1.00
     1039.00     0.000000       477449         1.00
     1047.00     0.000000       477593         1.00
     1055.00     0.000000       477741         1.00
     1063.00     0.000000       477879         1.00
     1071.00     0.000000       478011         1.00
     1079.00     0.000000       478132         1.00
     1087.00     0.000000       478281         1.00
     1095.00     0.000000       478431         1.00
     1103.00     0.000000       478566         1.00
     1111.00     0.000000       478711         1.00
     1119.00     0.000000       478851         1.00
     1127.00     0.000000       478979         1.00
     1135.00     0.000000       479119         1.00
     1143.00     0.000000       479252         1.00
     1151.00     0.000000       479392         1.00
     1159.00     0.000000       479549         1.00
     1167.00     0.000000       479679         1.00
     1175.00     0.000000       479803         1.00
     1183.00     0.000000       479938         1.00
     1191.00     0.000000       480075         1.00
     1199.00     0.000000       480208         1.00
     1207.00     0.000000       480346         1.00
     1215.00     0.000000       480506         1.00
     1223.00     0.000000       480653         1.00
     1231.00     0.000000       480794         1.00
     1239.00     0.000000       480939         1.00
     1247.00     0.000000       481078         1.00
     1255.00     0.000000       481221         1.00
     1263.00     0.000000       481376         1.00
     1271.00     0.000000       481527         1.00
     1279.00     0.000000       481664         1.00
     1287.00     0.000000       481804         1.00
     1295.00     0.000000       481962         1.00
     1303.00     0.000000       482104         1.00
     1311.00     0.000000       482239         1.00
     1319.00     0.000000       482387         1.00
     1327.00     0.000000       482528         1.00
     1335.00     0.000000       482674         1.00
     1343.00     0.000000       482818         1.00
     1351.00     0.000000       482968         1.00
     1359.00     0.000000       483126         1.00
     1367.00     0.000000       483266         1.00
     1375.00     0.000000       483405         1.00
     1383.00     0.000000       483545         1.00
     1391.00     0.000000       483683         1.00
     1399.00     0.000000       483814         1.00
     1407.00     0.000000       483955         1.00
     1415.00     0.000000       484094         1.00
     1423.00     0.000000       484232         1.00
     1431.00     0.000000       484381         1.00
     1439.00     0.000000       484529         1.00
     1447.00     0.000000       484664         1.00
     1455.00     0.000000       484802         1.00
     1463.00     0.000000       484942         1.00
     1471.00     0.000000       485092         1.00
     1479.00     0.000000       485233         1.00
     1487.00     0.000000       485354         1.00
     1495.00     0.000000       485486         1.00
     1503.00     0.000000       485628         1.00
     1511.00     0.000000       485769         1.00
     1519.00     0.000000       485900         1.00
     1527.00     0.000000       486043         1.00
     1535.00     0.000000       486185         1.00
     1543.00     0.000000       486320         1.00
     1551.00     0.000000       486451         1.00
     1559.00     0.000000       486583         1.00
     1567.00     0.000000       486725         1.00
     1575.00     0.000000       486861         1.00
     1583.00     0.000000       486997         1.00
     1591.00     0.000000       487133         1.00
     1599.00     0.000000       487261         1.00
     1607.00     0.000000       487404         1.00
     1615.00     0.000000       487542         1.00
     1623.00     0.000000       487673         1.00
     1631.00     0.000000       487816         1.00
     1639.00     0.000000       487985         1.00
     1647.00     0.000000       488123         1.00
     1655.00     0.000000       488260         1.00
     1663.00     0.000000       488392         1.00
     1671.00     0.000000       488538         1.00
     1679.00     0.000000       488690         1.00
     1687.00     0.000000       488822         1.00
     1695.00     0.000000       488962         1.00
     1703.00     0.000000       489094         1.00
     1711.00     0.000000       489231         1.00
     1719.00     0.000000       489377         1.00
     1727.00     0.000000       489522         1.00
     1735.00     0.000000       489674         1.00
     1743.00     0.000000       489803         1.00
     1751.00     0.000000       489944         1.00
     1759.00     0.000000       490095         1.00
     1767.00     0.000000       490248         1.00
     1775.00     0.000000       490393         1.00
     1783.00     0.000000       490549         1.00
     1791.00     0.000000       490693         1.00
     1799.00     0.000000       490841         1.00
     1807.00     0.000000       490998         1.00
     1815.00     0.000000       491153         1.00
     1823.00     0.000000       491293         1.00
     1831.00     0.000000       491441         1.00
     1839.00     0.000000       491590         1.00
     1847.00     0.000000       491747         1.00
     1855.00     0.000000       491885         1.00
     1863.00     0.000000       492016         1.00
     1871.00     0.000000       492171         1.00
     1879.00     0.000000       492324         1.00
     1887.00     0.000000       492464         1.00
     1895.00     0.000000       492600         1.00
     1903.00     0.000000       492747         1.00
     1911.00     0.000000       492882         1.00
     1919.00     0.000000       493013         1.00
     1927.00     0.000000       493151         1.00
     1935.00     0.000000       493292         1.00
     1943.00     0.000000       493431         1.00
     1951.00     0.000000       493575         1.00
     1959.00     0.000000       493708         1.00
     1967.00     0.000000       493838         1.00
